URL,PageRank
https://habr.com/en/,8.397659323308437
https://www.facebook.com/habr.eng,4.560508799507031
https://habr.com/en/search/,4.560508799507031
https://t.me/habr_eng,4.560508799507031
https://company.habr.com/en/,4.560508799507031
https://habr.com/en/feedback/,4.560508799507031
https://twitter.com/habr_eng,4.560508799507031
https://github.com/enterprise,3.8268459706398845
https://github.com/pricing,3.1618242297336017
https://github.com/features/copilot,3.0452231518271797
https://github.com/security/advanced-security,2.9587898468466958
https://github.com/,2.8515279844224035
https://github.com/features,2.8118734074424565
https://github.blog,2.72960055779649
https://github.com/readme,2.7157600248283074
https://docs.github.com,2.6891698123783296
https://github.com/team,2.681277537878974
https://resources.github.com,2.6255524126582106
https://docs.github.com/search-github/github-code-search/understanding-github-code-search-syntax,2.6115260408675325
https://github.com/why-github,2.59995137950015
